home_team,away_team,home_xg,away_xg,pred_home,pred_draw,pred_away,pred_o25,pred_btts,actual_result,actual_home_goals,actual_away_goals,actual_total,actual_o25,actual_btts,entropy,match_type
CAGLIARI,MONZA,1.304193111288743,1.5911307312844716,0.3083,0.2517,0.44,0.5535,0.5831,D,1,1,2,0,1,1.5454538950286991,high_uncertainty
UNION BERLIN,AUGSBURG,1.5568760935511428,1.09678814511313,0.4787,0.254,0.2673,0.4884,0.5176,D,1,1,2,0,1,1.5197457335048024,high_uncertainty
VILLARREAL,BETIS,1.8054277250358288,1.0536068389912536,0.5468,0.2289,0.2243,0.5486,0.5538,A,1,2,3,1,1,1.4468373625281084,balanced
FC KOLN,BOCHUM,1.398233905842897,1.5250709508218607,0.3516,0.2428,0.4056,0.562,0.5907,H,2,1,3,1,1,1.5540853675535942,high_uncertainty
EVERTON,LUTON,1.7202924905154389,1.2670329500357922,0.4773,0.2343,0.2884,0.5762,0.5902,A,1,2,3,1,1,1.5171663152945465,high_uncertainty
ARSENAL,MAN CITY,1.5948836973862435,1.2074815406547306,0.4651,0.2402,0.2947,0.5421,0.5666,H,5,1,6,1,1,1.5273701715585164,high_uncertainty
VILLARREAL,ATH BILBAO,1.6890180754749462,0.8816166804980826,0.5683,0.2395,0.1922,0.4783,0.4804,H,1,0,1,0,0,1.4144518899282255,balanced
BREST,RENNES,1.291663690767244,1.3196306191296143,0.3638,0.2678,0.3684,0.4853,0.5379,D,0,0,0,0,0,1.5704691842519405,high_uncertainty
WOLVES,ASTON VILLA,0.7614033714700442,1.8136816255529888,0.1553,0.226,0.6187,0.4726,0.4423,D,1,1,2,0,1,1.3307438583084679,balanced
CRYSTAL PALACE,MAN CITY,1.0132977121469005,2.2366707086274245,0.1559,0.1935,0.6506,0.631,0.5696,A,2,4,6,1,1,1.2800066500742564,balanced
COMO,PARMA,1.8636141718705315,1.5090237970380818,0.4595,0.2192,0.3213,0.6478,0.6507,D,1,1,2,0,1,1.521765762500483,high_uncertainty
ANGERS,LENS,1.0166456103438428,1.3274514973360474,0.2863,0.2843,0.4294,0.42,0.4746,A,0,1,1,0,0,1.5561649456198563,high_uncertainty
CELTA,VILLARREAL,1.1967265493577541,1.3955183126588293,0.3226,0.2664,0.411,0.4808,0.5249,H,3,0,3,1,0,1.5621485503797774,high_uncertainty
NAPOLI,GENOA,1.888513949873795,0.7748515339350049,0.6383,0.212,0.1497,0.4952,0.4558,D,2,2,4,1,1,1.2980059841224576,balanced
SUNDERLAND,BRENTFORD,1.5687803224899597,0.789686606779728,0.5543,0.2615,0.1842,0.4223,0.4402,H,2,1,3,1,1,1.427455812143135,balanced
CRYSTAL PALACE,NEWCASTLE,1.3125354095720931,1.5521165592484985,0.3295,0.2493,0.4212,0.5481,0.5762,H,2,0,2,0,0,1.5527664481072476,high_uncertainty
GENOA,PARMA,1.4336803860147724,0.7547913354319675,0.5305,0.2707,0.1988,0.3743,0.4017,H,1,0,1,0,0,1.4588401842752476,balanced
SOUTHAMPTON,BRENTFORD,1.413812018714722,1.2143570669167203,0.4255,0.2546,0.3199,0.4888,0.5261,A,0,5,5,1,0,1.5530599548349098,high_uncertainty
M'GLADBACH,UNION BERLIN,1.6305649633855925,1.1919517971966374,0.477,0.2475,0.2755,0.5367,0.559,H,1,0,1,0,0,1.5203912410817788,high_uncertainty
GIRONA,SEVILLA,1.3316343976969949,0.8640949774246597,0.4744,0.289,0.2366,0.3752,0.4234,A,1,2,3,1,1,1.5199335817684874,high_uncertainty
ALAVES,OSASUNA,1.382275364779979,1.072296108799904,0.4428,0.2712,0.286,0.4456,0.4968,A,0,2,2,0,0,1.5474551636875968,high_uncertainty
DORTMUND,UNION BERLIN,1.7011093658125815,1.0662254749331983,0.5145,0.2427,0.2428,0.5216,0.5348,H,6,0,6,1,0,1.484893246816295,balanced
ARSENAL,MAN UNITED,2.0162927646230027,1.1167719442795987,0.5764,0.2153,0.2083,0.5999,0.5821,H,2,0,2,0,0,1.4066084908658527,balanced
LENS,BREST,1.0932413580184985,1.2942349862325657,0.3179,0.2699,0.4122,0.4275,0.4781,H,1,0,1,0,0,1.562610626799702,high_uncertainty
ATALANTA,COMO,1.7487540565894506,1.1124622238624782,0.5198,0.237,0.2432,0.5395,0.5498,A,2,3,5,1,1,1.4790107703809272,balanced
SEVILLA,CELTA,1.4569532742109257,1.3411788514767757,0.4042,0.2488,0.347,0.5266,0.5644,H,1,0,1,0,0,1.557425762471695,high_uncertainty
DORTMUND,STUTTGART,1.8524033336323018,1.0707784528744668,0.559,0.2265,0.2145,0.5604,0.5576,D,3,3,6,1,1,1.4306969463286192,balanced
VALLECANO,SEVILLA,1.4857101024480666,0.9611365586712113,0.4915,0.261,0.2475,0.4434,0.4796,A,1,2,3,1,1,1.5080329540866264,high_uncertainty
MONTPELLIER,LORIENT,1.5879914091917737,0.9800974772923883,0.5156,0.2508,0.2336,0.4801,0.5044,H,2,0,2,0,0,1.4832570527530589,balanced
NEWCASTLE,MAN UNITED,1.6175578791934713,1.1392454730246355,0.489,0.2493,0.2617,0.5187,0.5443,H,4,1,5,1,1,1.510433764714385,high_uncertainty
M'GLADBACH,LEVERKUSEN,1.2232125989807743,2.2267893198550963,0.207,0.1977,0.5953,0.6641,0.6205,A,2,3,5,1,1,1.3781794341423055,balanced
ANGERS,PARIS FC,1.3638570805537047,1.3358203548517202,0.3753,0.2606,0.3641,0.5055,0.549,H,1,0,1,0,0,1.5669280495811635,high_uncertainty
LAZIO,VERONA,1.4367201126617615,1.2313492338149696,0.4172,0.2597,0.3231,0.5065,0.5468,H,2,1,3,1,1,1.5579418278691817,high_uncertainty
STUTTGART,BOCHUM,2.6361062584112207,0.9132950939080178,0.7309,0.1617,0.1074,0.6847,0.5586,H,2,0,2,0,0,1.101311996800999,predictable
LUTON,FULHAM,1.1899210724770726,1.4801864527427167,0.3049,0.2593,0.4358,0.4964,0.5338,A,2,4,6,1,1,1.5496131361664056,high_uncertainty
WOLVES,CRYSTAL PALACE,0.9786061904394318,1.8381311347544405,0.1985,0.2185,0.583,0.5313,0.5126,D,2,2,4,1,1,1.3963380302674397,balanced
ROMA,NAPOLI,1.207338723595255,1.1626510646601653,0.3725,0.2823,0.3452,0.4172,0.4815,D,1,1,2,0,1,1.5755165665527857,high_uncertainty
VALENCIA,BETIS,1.278178855791026,0.8925753599365038,0.4494,0.29,0.2606,0.3731,0.426,A,1,2,3,1,1,1.5420667537934774,high_uncertainty
REIMS,BREST,1.683414063429173,1.3262782925612155,0.469,0.2327,0.2983,0.582,0.5947,A,1,2,3,1,1,1.5223644138421462,high_uncertainty
LEEDS,NEWCASTLE,1.1632780773054006,1.5928153491438242,0.2744,0.2551,0.4705,0.5143,0.544,D,0,0,0,0,0,1.5264799680913583,high_uncertainty
EIN FRANKFURT,DORTMUND,1.3005905943177833,1.884185726449025,0.2519,0.2248,0.5233,0.6186,0.619,D,3,3,6,1,1,1.4740210667338494,balanced
WERDER BREMEN,FC KOLN,1.1630834736628222,1.9661740098310907,0.2171,0.2161,0.5668,0.6137,0.5969,H,2,1,3,1,1,1.420284453901629,balanced
INTER,MILAN,1.7644908888620683,1.1173604331894886,0.5271,0.231,0.2419,0.5525,0.5579,H,5,1,6,1,1,1.470598656671479,balanced
BOURNEMOUTH,IPSWICH,2.743243087864824,0.8983939272816205,0.7596,0.1486,0.0918,0.6987,0.5497,A,1,2,3,1,1,1.0263319888664681,predictable
MONACO,LENS,1.7728416790593313,1.4545460202309974,0.4479,0.2399,0.3122,0.613,0.6345,H,3,0,3,1,0,1.5374042498334843,high_uncertainty
VERONA,UDINESE,1.2602196456685604,1.1258231101365106,0.3998,0.2746,0.3256,0.4378,0.4922,D,0,0,0,0,0,1.5679037095994635,high_uncertainty
BARCELONA,ATH BILBAO,2.1996542921469815,0.9064610159503373,0.67,0.191,0.139,0.6014,0.5366,H,2,1,3,1,1,1.2389909882174512,balanced
TORINO,PARMA,1.3981601354056818,1.0257280406351765,0.4551,0.2642,0.2807,0.4371,0.4802,D,0,0,0,0,0,1.538714717264949,high_uncertainty
ALAVES,CELTA,1.231634464654597,1.1542130159472097,0.3846,0.2753,0.3401,0.4309,0.4862,D,1,1,2,0,1,1.5716950876906302,high_uncertainty
PARIS FC,LORIENT,2.2017989919542966,1.4049940324066248,0.5549,0.205,0.2401,0.7022,0.6742,H,2,0,2,0,0,1.4343871251171878,balanced
LEEDS,LIVERPOOL,1.0742350668646141,1.5725207364616436,0.2599,0.2493,0.4908,0.4948,0.5216,D,3,3,6,1,1,1.5087965828611396,high_uncertainty
SHEFFIELD UNITED,CRYSTAL PALACE,0.958306202538318,1.3076101947915484,0.2743,0.2776,0.4481,0.386,0.4446,A,0,1,1,0,0,1.5440996336278041,high_uncertainty
CADIZ,SOCIEDAD,1.0128971186579667,1.2882332259675908,0.2931,0.2839,0.423,0.4011,0.4545,D,0,0,0,0,0,1.5597184335146972,high_uncertainty
LILLE,BREST,1.6560755365010402,1.168458623400051,0.4876,0.2472,0.2652,0.5382,0.5541,H,3,1,4,1,1,1.511500081691214,high_uncertainty
GETAFE,BETIS,1.2425776997368416,1.0284328311900452,0.4081,0.2847,0.3072,0.3944,0.4515,A,1,2,3,1,1,1.5667749109398565,high_uncertainty
